Date,Volume
22/02/1982,14966400
23/02/1982,20294400
24/02/1982,47193600
25/02/1982,14208000
26/02/1982,8764800
01/03/1982,13574400
02/03/1982,16876800
03/03/1982,17030400
04/03/1982,13862400
05/03/1982,15504000
08/03/1982,19065600
09/03/1982,9408000
10/03/1982,10886400
11/03/1982,9724800
12/03/1982,14035200
15/03/1982,11750400
16/03/1982,12096000
17/03/1982,10060800
18/03/1982,19526400
19/03/1982,34704000
22/03/1982,17952000
23/03/1982,15638400
24/03/1982,16848000
25/03/1982,9148800
26/03/1982,8563200
29/03/1982,20841600
30/03/1982,10924800
31/03/1982,17529600
01/04/1982,17404800
02/04/1982,25948800
05/04/1982,12460800
06/04/1982,10838400
07/04/1982,11644800
08/04/1982,40041600
12/04/1982,31046400
13/04/1982,33187200
14/04/1982,28732800
15/04/1982,18355200
16/04/1982,28742400
19/04/1982,14083200
20/04/1982,39398400
21/04/1982,20092800
22/04/1982,46377600
23/04/1982,17520000
26/04/1982,17913600
27/04/1982,20601600
28/04/1982,49372800
29/04/1982,21552000
30/04/1982,12297600
03/05/1982,13123200
04/05/1982,12912000
05/05/1982,22905600
06/05/1982,17510400
07/05/1982,25920000
10/05/1982,14083200
11/05/1982,20976000
12/05/1982,35520000
13/05/1982,40262400
14/05/1982,31161600
17/05/1982,16857600
18/05/1982,18940800
19/05/1982,13718400
20/05/1982,25747200
21/05/1982,9600000
24/05/1982,6931200
25/05/1982,11289600
26/05/1982,14275200
27/05/1982,22560000
28/05/1982,10137600
01/06/1982,9024000
02/06/1982,8275200
03/06/1982,10070400
04/06/1982,6288000
07/06/1982,12643200
08/06/1982,19190400
09/06/1982,19814400
10/06/1982,16012800
11/06/1982,35836800
14/06/1982,8592000
15/06/1982,25094400
16/06/1982,7248000
17/06/1982,15264000
18/06/1982,24211200
21/06/1982,12345600
22/06/1982,11721600
23/06/1982,11318400
24/06/1982,29414400
25/06/1982,29164800
28/06/1982,4819200
29/06/1982,8822400
30/06/1982,10377600
01/07/1982,11203200
02/07/1982,19622400
06/07/1982,12259200
07/07/1982,31948800
08/07/1982,36643200
09/07/1982,24489600
12/07/1982,36249600
13/07/1982,31948800
14/07/1982,12729600
15/07/1982,24787200
16/07/1982,14236800
19/07/1982,13286400
20/07/1982,9388800
21/07/1982,16588800
22/07/1982,11212800
23/07/1982,16387200
26/07/1982,3398400
27/07/1982,16694400
28/07/1982,14572800
29/07/1982,15696000
30/07/1982,13680000
02/08/1982,14860800
03/08/1982,23011200
04/08/1982,13574400
05/08/1982,23683200
06/08/1982,29798400
09/08/1982,29846400
10/08/1982,16051200
11/08/1982,19420800
12/08/1982,23212800
13/08/1982,64905600
16/08/1982,43785600
17/08/1982,55276800
18/08/1982,70963200
19/08/1982,43862400
20/08/1982,27820800
23/08/1982,36019200
24/08/1982,67248000
25/08/1982,50812800
26/08/1982,91881600
27/08/1982,51312000
30/08/1982,20092800
31/08/1982,32947200
01/09/1982,22051200
02/09/1982,43372800
03/09/1982,50745600
07/09/1982,59760000
08/09/1982,38438400
09/09/1982,27984000
10/09/1982,37670400
13/09/1982,16425600
14/09/1982,51312000
15/09/1982,50236800
16/09/1982,32976000
17/09/1982,42432000
20/09/1982,18057600
21/09/1982,38764800
22/09/1982,101011200
23/09/1982,40492800
24/09/1982,43526400
27/09/1982,15302400
28/09/1982,18883200
29/09/1982,45129600
30/09/1982,26860800
01/10/1982,29817600
04/10/1982,11760000
05/10/1982,12096000
06/10/1982,27129600
07/10/1982,52598400
08/10/1982,75052800
11/10/1982,37536000
12/10/1982,47203200
13/10/1982,25968000
14/10/1982,35596800
15/10/1982,25276800
18/10/1982,15561600
19/10/1982,32390400
20/10/1982,28348800
21/10/1982,41251200
22/10/1982,35923200
25/10/1982,51302400
26/10/1982,18480000
27/10/1982,17001600
28/10/1982,16281600
29/10/1982,20668800
01/11/1982,37324800
02/11/1982,21244800
03/11/1982,27686400
04/11/1982,38630400
05/11/1982,34128000
08/11/1982,22080000
09/11/1982,32380800
10/11/1982,18182400
11/11/1982,20803200
12/11/1982,19161600
15/11/1982,12585600
16/11/1982,28022400
17/11/1982,37526400
18/11/1982,69801600
19/11/1982,43296000
22/11/1982,48393600
23/11/1982,56361600
24/11/1982,30566400
26/11/1982,19574400
29/11/1982,43430400
30/11/1982,47865600
01/12/1982,24585600
02/12/1982,14880000
03/12/1982,19564800
06/12/1982,29856000
07/12/1982,49094400
08/12/1982,35894400
09/12/1982,61891200
10/12/1982,40838400
13/12/1982,18268800
14/12/1982,46723200
15/12/1982,27993600
16/12/1982,31075200
17/12/1982,25804800
20/12/1982,26035200
21/12/1982,50649600
22/12/1982,71750400
23/12/1982,73689600
27/12/1982,39062400
28/12/1982,44841600
29/12/1982,20227200
30/12/1982,27964800
31/12/1982,8937600
03/01/1983,24547200
04/01/1983,37699200
05/01/1983,33014400
06/01/1983,24192000
07/01/1983,48796800
10/01/1983,23222400
11/01/1983,27417600
12/01/1983,57820800
13/01/1983,62294400
14/01/1983,59366400
17/01/1983,28502400
18/01/1983,39091200
19/01/1983,33033600
20/01/1983,33724800
21/01/1983,29952000
24/01/1983,28550400
25/01/1983,19257600
26/01/1983,20947200
27/01/1983,30268800
28/01/1983,22560000
31/01/1983,14428800
01/02/1983,96422400
02/02/1983,13152000
03/02/1983,18662400
04/02/1983,24403200
